Site_ID,broad_outcome,detailed_outcome,is_subset,Highest_taxonomic_resolution,body_size,trophic_group,sampling_method,sampling_month,sampling_season,disturbance_type,comparison_type,disturbance_av,control_av,disturbance_av_before,control_av_before,av_type,unit,dist_var,control_var,dist_var_before,control_var_before,var_type,dist_n,control_n,description_data_extraction,significant,approx_p_val,exact_p_val,exact_z_val,sample_area,sampling_depth,dist_strength_during,annual_strength_dist,perc_during_dist,perc_annual_dist,time_after_dist_start,time_after_dist_end,TN,SOC,soil_moisture,soil_moisture_unit,soil_bulk_density ,function_info,log_tranformed,notes,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Collembola,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,11.49606299,14.74015748,NA,NA,mean,density m-2,0.62992126,0.881889764,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.018,NA,7854,10,70,35,70,35,2555,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Collembola,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,17.29133858,15.52755906,NA,NA,mean,density m-2,0.818897638,0.598425197,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,2920,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Collembola,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,12,14.96062992,NA,NA,mean,density m-2,0.913385827,0.440944882,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.028,NA,7854,10,70,35,70,35,3285,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Collembola,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,13.54330709,14.74015748,NA,NA,mean,density m-2,0.472440945,0.881889764,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,365,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Collembola,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,14.23622047,15.52755906,NA,NA,mean,density m-2,1.480314961,0.598425197,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,730,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Collembola,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,13.73228346,14.96062992,NA,NA,mean,density m-2,0.913385827,0.440944882,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,1095,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Mesostigmata,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,7.763239875,10.68535826,NA,NA,mean,density m-2,0.741433022,0.828660436,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.006,NA,7854,10,70,35,70,35,2190,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Mesostigmata,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,7.021806854,8.722741433,NA,NA,mean,density m-2,0.654205607,0.479750779,,,SE,4,4,p 497 fig 1,TRUE,<0.1,0.089,NA,7854,10,70,35,70,35,2555,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Mesostigmata,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,6.498442368,8.722741433,NA,NA,mean,density m-2,0.654205607,0.697819315,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.033,NA,7854,10,70,35,70,35,2920,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Mesostigmata,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,6.542056075,9.333333333,NA,NA,mean,density m-2,0.828660436,0.30529595,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.011,NA,7854,10,70,35,70,35,3285,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Mesostigmata,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,9.551401869,8.722741433,NA,NA,mean,density m-2,0.261682243,0.479750779,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,365,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Mesostigmata,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,8.722741433,8.722741433,NA,NA,mean,density m-2,0.6105919,0.697819315,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,730,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Mesostigmata,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,8.46105919,9.333333333,NA,NA,mean,density m-2,1.177570093,0.30529595,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,1095,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,shannon wiener,FALSE,Oribatida,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,1.31,1.96,NA,NA,mean,density m-2,0.1,0.07,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.005,NA,7854,10,70,35,70,35,2555,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,shannon wiener,FALSE,Oribatida,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,1.09,1.88,NA,NA,mean,density m-2,0.15,0.06,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.001,NA,7854,10,70,35,70,35,2920,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
